compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.2500,0.0000,0.7500",0.2500,0.0000,0.7500,"0.2500,0.1563,0.5192",0.2500,0.1563,0.5192,100,10000,9335,0.9335,0.02223400427494198,0.3605196896195412,0.26167589808872765,655360000.0,327680000.0,163840000.0,163846388.0,51206400.0,85058066.0,0.25,0.1563,0.5192,3.8215212302851267
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.2500,0.0000,1.0000",0.2500,0.0000,1.0000,"0.2500,0.1563,0.5313",0.2500,0.1563,0.5313,100,10000,9335,0.9335,0.024127419621217994,0.35392452400177715,0.26340958775111606,655360000.0,327680000.0,163840000.0,163846388.0,51206400.0,87046400.0,0.25,0.1563,0.5313,3.796369025659215
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.0000,0.5000,0.7500",0.0000,0.5000,0.7500,"0.1250,0.4063,0.5192",0.1250,0.4063,0.5192,100,10000,9333,0.9333,0.022400070044677704,0.3587428565323353,0.2616832048688616,655360000.0,327680000.0,163840000.0,81926400.0,133126398.0,85066436.0,0.125,0.4063,0.5192,3.821414524868473
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"1.0000,0.2500,0.7500",1.0000,0.2500,0.7500,"0.5313,0.2813,0.5186",0.5313,0.2813,0.5186,100,10000,9333,0.9333,0.022432839858811348,0.3570735078305006,0.45802776576450893,655360000.0,327680000.0,163840000.0,348166400.0,92166400.0,84970084.0,0.5313,0.2813,0.5186,2.183273754880051
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.5000,0.0000,1.0000",0.5000,0.0000,1.0000,"0.3750,0.1563,0.5313",0.3750,0.1563,0.5313,100,10000,9333,0.9333,0.024669817835092544,0.36400499105453493,0.3348381556919643,655360000.0,327680000.0,163840000.0,245766384.0,51206400.0,87046400.0,0.375,0.1563,0.5313,2.986517465231633
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.2500,0.2500,0.0000",0.2500,0.2500,0.0000,"0.2500,0.2813,0.2188",0.2500,0.2813,0.2188,100,10000,9332,0.9332,0.02183002146659419,0.3611175239086151,0.25448101632254466,655360000.0,327680000.0,163840000.0,163846388.0,92166400.0,35846400.0,0.25,0.2813,0.2188,3.929566198889034
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.2500,1.0000,0.2500",0.2500,1.0000,0.2500,"0.2500,0.5313,0.3438",0.2500,0.5313,0.3438,100,10000,9332,0.9332,0.022013456176500766,0.3580279054492712,0.3437667288643973,655360000.0,327680000.0,163840000.0,163846388.0,174086400.0,56326398.0,0.25,0.5313,0.3438,2.9089493427808173
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"1.0000,0.2500,1.0000",1.0000,0.2500,1.0000,"0.5313,0.2813,0.5313",0.5313,0.2813,0.5313,100,10000,9331,0.9331,0.02568876006407663,0.35834082946181295,0.4598381696428571,655360000.0,327680000.0,163840000.0,348166400.0,92166400.0,87046400.0,0.5313,0.2813,0.5313,2.174678106379622
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.2500,0.5000,0.7500",0.2500,0.5000,0.7500,"0.2500,0.4063,0.5187",0.2500,0.4063,0.5187,100,10000,9330,0.933,0.0210216058162041,0.3532034074515104,0.333036962890625,655360000.0,327680000.0,163840000.0,163846388.0,133126396.0,84980648.0,0.25,0.4063,0.5187,3.002669707651691
llmint8,llmint8_fp16_int4,fp16_int4,fp16,int4,"0.5000,0.7500,0.7500",0.5000,0.7500,0.7500,"0.3750,0.5313,0.5186",0.3750,0.5313,0.5186,100,10000,9330,0.933,0.021155191017314792,0.35781221352517606,0.44016236223493305,655360000.0,327680000.0,163840000.0,245766384.0,174086398.0,84960628.0,0.375,0.5313,0.5186,2.271888934170746
