compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,0.0000,0.2500",0.7500,0.0000,0.2500,"0.4531,0.1094,0.2969",0.4531,0.1094,0.2969,100,10000,8672,0.8672,0.023441250456962735,0.7577129578590394,0.3326060076032366,655360000.0,327680000.0,163840000.0,296966378.0,35846400.0,48646400.0,0.4531,0.1094,0.2969,3.0065602458777385
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.2500,0.0000,0.7500",0.2500,0.0000,0.7500,"0.2031,0.1094,0.4617",0.2031,0.1094,0.4617,100,10000,8598,0.8598,0.022807919171173127,0.8108519032597542,0.21328443603515626,655360000.0,327680000.0,163840000.0,133126388.0,35846400.0,75638866.0,0.2031,0.1094,0.4617,4.688574649840682
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.2500,0.0000,1.0000",0.2500,0.0000,1.0000,"0.2031,0.1094,0.5313",0.2031,0.1094,0.5313,100,10000,8598,0.8598,0.026014546572696418,0.8108519032597542,0.22323101632254463,655360000.0,327680000.0,163840000.0,133126388.0,35846400.0,87046400.0,0.2031,0.1094,0.5313,4.479664235166624
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.2500,0.0000,0.5000",0.2500,0.0000,0.5000,"0.2031,0.1094,0.4219",0.2031,0.1094,0.4219,100,10000,8597,0.8597,0.02277699617203325,0.8109402024745941,0.20760601632254463,655360000.0,327680000.0,163840000.0,133126388.0,35846400.0,69126400.0,0.2031,0.1094,0.4219,4.8168160909477775
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.2500,0.0000,0.2500",0.2500,0.0000,0.2500,"0.2031,0.1094,0.2969",0.2031,0.1094,0.2969,100,10000,8591,0.8591,0.022715005076024683,0.8155286303162574,0.18974886648995537,655360000.0,327680000.0,163840000.0,133126388.0,35846400.0,48646392.0,0.2031,0.1094,0.2969,5.270123708765008
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.7500,0.2500",0.0000,0.7500,0.2500,"0.0781,0.4697,0.2969",0.0781,0.4697,0.2969,100,10000,8578,0.8578,0.02390755040803924,0.7917826494574547,0.22125481654575893,655360000.0,327680000.0,163840000.0,51206400.0,153899924.0,48646400.0,0.0781,0.4697,0.2969,4.519675619324583
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,1.0000,0.2500",0.0000,1.0000,0.2500,"0.0781,0.5313,0.2969",0.0781,0.5313,0.2969,100,10000,8578,0.8578,0.029109532085713,0.7917826494574547,0.2388560267857143,655360000.0,327680000.0,163840000.0,51206400.0,174086400.0,48646400.0,0.0781,0.5313,0.2969,4.186622433007032
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.7500,0.5000",0.0000,0.7500,0.5000,"0.0781,0.4697,0.4219",0.0781,0.4697,0.4219,100,10000,8576,0.8576,0.02356936179799959,0.7833469584584236,0.23911195940290178,655360000.0,327680000.0,163840000.0,51206400.0,153899924.0,69126400.0,0.0781,0.4697,0.4219,4.18214129689351
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.7500,0.7500",0.0000,0.7500,0.7500,"0.0781,0.4697,0.4658",0.0781,0.4697,0.4658,100,10000,8576,0.8576,0.023699288454372434,0.7833091112971305,0.24537690778459822,655360000.0,327680000.0,163840000.0,51206400.0,153899924.0,76311544.0,0.0781,0.4697,0.4658,4.075363118023479
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.7500,1.0000",0.0000,0.7500,1.0000,"0.0781,0.4697,0.5313",0.0781,0.4697,0.5313,100,10000,8576,0.8576,0.02676106504863128,0.7833091112971305,0.2547369594029018,655360000.0,327680000.0,163840000.0,51206400.0,153899924.0,87046400.0,0.0781,0.4697,0.5313,3.9256180270973617
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,1.0000,0.7500",0.0000,1.0000,0.7500,"0.0781,0.5313,0.4658",0.0781,0.5313,0.4658,100,10000,8576,0.8576,0.027662703469395637,0.7833091112971305,0.26297811802455356,655360000.0,327680000.0,163840000.0,51206400.0,174086400.0,76311544.0,0.0781,0.5313,0.4658,3.8025977503825343
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,1.0000,0.5000",0.0000,1.0000,0.5000,"0.0781,0.5313,0.4219",0.0781,0.5313,0.4219,100,10000,8576,0.8576,0.02833172360435128,0.7833469584584236,0.2567131696428571,655360000.0,327680000.0,163840000.0,51206400.0,174086400.0,69126400.0,0.0781,0.5313,0.4219,3.89539812620916
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,1.0000,1.0000",0.0000,1.0000,1.0000,"0.0781,0.5313,0.5313",0.0781,0.5313,0.5313,100,10000,8576,0.8576,0.02886545427609235,0.7833091112971305,0.2723381696428571,655360000.0,327680000.0,163840000.0,51206400.0,174086400.0,87046400.0,0.0781,0.5313,0.5313,3.671905415650677
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.5000,0.2500",0.0000,0.5000,0.2500,"0.0781,0.3594,0.2969",0.0781,0.3594,0.2969,100,10000,8572,0.8572,0.023837305214256047,0.7927249255776405,0.18974888044084823,655360000.0,327680000.0,163840000.0,51206400.0,117766398.0,48646398.0,0.0781,0.3594,0.2969,5.270123321290094
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.5000,0.5000",0.0000,0.5000,0.5000,"0.0781,0.3594,0.4219",0.0781,0.3594,0.4219,100,10000,8568,0.8568,0.023979629019740968,0.7840956911444664,0.2076060250418527,655360000.0,327680000.0,163840000.0,51206400.0,117766398.0,69126400.0,0.0781,0.3594,0.4219,4.816815888644866
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.5000,0.7500",0.0000,0.5000,0.7500,"0.0781,0.3594,0.4660",0.0781,0.3594,0.4660,100,10000,8567,0.8567,0.02365158254047856,0.7840633320808411,0.21389857003348214,655360000.0,327680000.0,163840000.0,51206400.0,117766398.0,76343194.0,0.0781,0.3594,0.466,4.675113068046538
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.5000,1.0000",0.0000,0.5000,1.0000,"0.0781,0.3594,0.5313",0.0781,0.3594,0.5313,100,10000,8567,0.8567,0.02679903102805838,0.7840633320808411,0.2232310250418527,655360000.0,327680000.0,163840000.0,51206400.0,117766398.0,87046400.0,0.0781,0.3594,0.5313,4.479664060192861
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.2500,0.5000",0.0000,0.2500,0.5000,"0.0781,0.2344,0.4219",0.0781,0.2344,0.4219,100,10000,8521,0.8521,0.023855721715372057,0.8281163114309311,0.17189173758370535,655360000.0,327680000.0,163840000.0,51206400.0,76806396.0,69126400.0,0.0781,0.2344,0.4219,5.81761528539459
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.2500,0.7500",0.0000,0.2500,0.7500,"0.0781,0.2344,0.4662",0.0781,0.2344,0.4662,100,10000,8518,0.8518,0.023722890557255596,0.8281044879555702,0.17822138148716518,655360000.0,327680000.0,163840000.0,51206400.0,76806396.0,76385742.0,0.0781,0.2344,0.4662,5.610999037576287
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.2500,1.0000",0.0000,0.2500,1.0000,"0.0781,0.2344,0.5313",0.0781,0.2344,0.5313,100,10000,8518,0.8518,0.026783049076329918,0.8281044879555702,0.18751673758370535,655360000.0,327680000.0,163840000.0,51206400.0,76806396.0,87046400.0,0.0781,0.2344,0.5313,5.332857284558992
