compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.5000,0.5000,0.5000",0.5000,0.5000,0.5000,"0.2031,0.2344,0.2969",0.2031,0.2344,0.2969,100,10000,9332,0.9332,0.02058235684176907,0.3640835052728653,0.2254642081124442,655360000.0,327680000.0,163840000.0,133126792.0,76806799.0,48646800.0,0.2031,0.2344,0.2969,4.4352937806486645
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.5000,0.7500",0.7500,0.5000,0.7500,"0.2656,0.2344,0.3222",0.2656,0.2344,0.3222,100,10000,9330,0.933,0.020558117744512855,0.3598179605603218,0.2647921229771205,655360000.0,327680000.0,163840000.0,174086789.0,76806797.0,52791204.0,0.2656,0.2344,0.3222,3.776547386518765
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.7500,0.7500",0.7500,0.7500,0.7500,"0.2656,0.2969,0.3219",0.2656,0.2969,0.3219,100,10000,9330,0.933,0.020580211258493363,0.35915082462131975,0.28260418875558035,655360000.0,327680000.0,163840000.0,174086789.0,97286800.0,52739503.0,0.2656,0.2969,0.3219,3.5385179689069766
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.5000,1.0000",0.7500,0.5000,1.0000,"0.2656,0.2344,0.2813",0.2656,0.2344,0.2813,100,10000,9330,0.933,0.021588776903226973,0.3598179605603218,0.25894634660993304,655360000.0,327680000.0,163840000.0,174086789.0,76806797.0,46086800.0,0.2656,0.2344,0.2813,3.8618038566358384
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.7500,1.0000",0.7500,0.7500,1.0000,"0.2656,0.2969,0.2813",0.2656,0.2969,0.2813,100,10000,9330,0.933,0.02160342693096027,0.35915082462131975,0.2768034920828683,655360000.0,327680000.0,163840000.0,174086789.0,97286800.0,46086800.0,0.2656,0.2969,0.2813,3.6126711858845484
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.5000,0.5000",0.7500,0.5000,0.5000,"0.2656,0.2344,0.2969",0.2656,0.2344,0.2969,100,10000,9329,0.9329,0.02055286893853918,0.35997323401272296,0.2611784885951451,655360000.0,327680000.0,163840000.0,174086789.0,76806797.0,48646799.0,0.2656,0.2344,0.2969,3.828799245216968
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.7500,0.5000",0.7500,0.7500,0.5000,"0.2656,0.2969,0.2969",0.2656,0.2969,0.2969,100,10000,9329,0.9329,0.02058298951247707,0.3592594604194164,0.27903563319614955,655360000.0,327680000.0,163840000.0,174086789.0,97286800.0,48646798.0,0.2656,0.2969,0.2969,3.583771680146115
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.5000,0.5000,0.7500",0.5000,0.5000,0.7500,"0.2031,0.2344,0.3235",0.2031,0.2344,0.3235,100,10000,9329,0.9329,0.020625380431301892,0.3640589766949415,0.229255908203125,655360000.0,327680000.0,163840000.0,133126792.0,76806799.0,52995425.0,0.2031,0.2344,0.3235,4.361937748247611
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.5000,0.5000,1.0000",0.5000,0.5000,1.0000,"0.2031,0.2344,0.2813",0.2031,0.2344,0.2813,100,10000,9329,0.9329,0.021765062201302497,0.3640589766949415,0.22323206525530134,655360000.0,327680000.0,163840000.0,133126792.0,76806799.0,46086800.0,0.2031,0.2344,0.2813,4.479643185921078
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,1.0000,0.5000",0.7500,1.0000,0.5000,"0.2656,0.2813,0.2969",0.2656,0.2813,0.2969,100,10000,9329,0.9329,0.02249679996399209,0.35914639823138717,0.27457134922572546,655360000.0,327680000.0,163840000.0,174086789.0,92166800.0,48646800.0,0.2656,0.2813,0.2969,3.6420405946211774
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,1.0000,0.7500",0.7500,1.0000,0.7500,"0.2656,0.2813,0.3219",0.2656,0.2813,0.3219,100,10000,9329,0.9329,0.02251843563048169,0.35906232297420504,0.27814029279436386,655360000.0,327680000.0,163840000.0,174086789.0,92166800.0,52739950.0,0.2656,0.2813,0.3219,3.5953079287916236
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,1.0000,1.0000",0.7500,1.0000,1.0000,"0.2656,0.2813,0.2813",0.2656,0.2813,0.2813,100,10000,9329,0.9329,0.025289575275965034,0.35906232297420504,0.2723392063685826,655360000.0,327680000.0,163840000.0,174086789.0,92166800.0,46086800.0,0.2656,0.2813,0.2813,3.671891437645613
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.5000,0.2500",0.7500,0.5000,0.2500,"0.2656,0.2344,0.2344",0.2656,0.2344,0.2344,100,10000,9327,0.9327,0.02055201245471835,0.36295333832502363,0.25224991716657363,655360000.0,327680000.0,163840000.0,174086789.0,76806797.0,38406799.0,0.2656,0.2344,0.2344,3.9643224118073674
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,0.7500,0.2500",0.7500,0.7500,0.2500,"0.2656,0.2969,0.2344",0.2656,0.2969,0.2344,100,10000,9327,0.9327,0.02058303773170337,0.36139043286442757,0.27010706263950895,655360000.0,327680000.0,163840000.0,174086789.0,97286800.0,38406799.0,0.2656,0.2969,0.2344,3.7022356625106947
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.7500,1.0000,0.2500",0.7500,1.0000,0.2500,"0.2656,0.2813,0.2344",0.2656,0.2813,0.2344,100,10000,9326,0.9326,0.022208593401592223,0.3609356863796711,0.265642777797154,655360000.0,327680000.0,163840000.0,174086789.0,92166800.0,38406800.0,0.2656,0.2813,0.2344,3.764453934311756
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,0.7500,0.7500",1.0000,0.7500,0.7500,"0.2813,0.2969,0.3218",0.2813,0.2969,0.3218,100,10000,9326,0.9326,0.02245874736458063,0.358782105371356,0.2915156494140625,655360000.0,327680000.0,163840000.0,184326800.0,97286800.0,52719868.0,0.2813,0.2969,0.3218,3.430347571425305
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,0.7500,1.0000",1.0000,0.7500,1.0000,"0.2813,0.2969,0.2813",0.2813,0.2969,0.2813,100,10000,9326,0.9326,0.02663962738122791,0.358782105371356,0.28573207310267856,655360000.0,327680000.0,163840000.0,184326800.0,97286800.0,46086800.0,0.2813,0.2969,0.2813,3.4997821180566153
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,0.5000,0.5000",1.0000,0.5000,0.5000,"0.2813,0.2344,0.2969",0.2813,0.2344,0.2969,100,10000,9325,0.9325,0.022468645211774857,0.3583803155273199,0.27010707223074776,655360000.0,327680000.0,163840000.0,184326800.0,76806799.0,48646800.0,0.2813,0.2344,0.2969,3.702235531047915
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,1.0000,0.2500",1.0000,1.0000,0.2500,"0.2813,0.2813,0.2344",0.2813,0.2813,0.2344,100,10000,9324,0.9324,0.027504127528518437,0.36035722255706787,0.27457135881696426,655360000.0,327680000.0,163840000.0,184326800.0,92166800.0,38406800.0,0.2813,0.2813,0.2344,3.6420404673985805
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.5000,0.7500,0.7500",0.5000,0.7500,0.7500,"0.2031,0.2969,0.3232",0.2031,0.2969,0.3232,100,10000,9323,0.9323,0.020528650155756622,0.36400513507425786,0.24706955915178572,655360000.0,327680000.0,163840000.0,133126792.0,97286799.0,52945545.0,0.2031,0.2969,0.3232,4.047443171198828
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.5000,0.7500,0.5000",0.5000,0.7500,0.5000,"0.2031,0.2969,0.2969",0.2031,0.2969,0.2969,100,10000,9323,0.9323,0.02060943546006456,0.36397322557866574,0.24332135096958704,655360000.0,327680000.0,163840000.0,133126792.0,97286799.0,48646800.0,0.2031,0.2969,0.2969,4.1097914178726995
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"0.5000,0.7500,1.0000",0.5000,0.7500,1.0000,"0.2031,0.2969,0.2813",0.2031,0.2969,0.2813,100,10000,9323,0.9323,0.021953523787669838,0.36400513507425786,0.2410892081124442,655360000.0,327680000.0,163840000.0,133126792.0,97286799.0,46086800.0,0.2031,0.2969,0.2813,4.147842235781866
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,0.7500,0.2500",1.0000,0.7500,0.2500,"0.2813,0.2969,0.2344",0.2813,0.2969,0.2344,100,10000,9323,0.9323,0.022365017528645694,0.3605803795158863,0.2790356436593192,655360000.0,327680000.0,163840000.0,184326800.0,97286800.0,38406799.0,0.2813,0.2969,0.2344,3.5837715457632435
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,0.5000,0.7500",1.0000,0.5000,0.7500,"0.2813,0.2344,0.3221",0.2813,0.2344,0.3221,100,10000,9323,0.9323,0.022441280959174036,0.35836451150476933,0.27370375104631695,655360000.0,327680000.0,163840000.0,184326800.0,76806799.0,52771759.0,0.2813,0.2344,0.3221,3.6535852949665166
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,0.5000,1.0000",1.0000,0.5000,1.0000,"0.2813,0.2344,0.2813",0.2813,0.2344,0.2813,100,10000,9323,0.9323,0.026146997287869452,0.35836451150476933,0.2678749293736049,655360000.0,327680000.0,163840000.0,184326800.0,76806799.0,46086800.0,0.2813,0.2344,0.2813,3.7330854452799533
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,"0.2813,0.2813,0.2969",0.2813,0.2813,0.2969,100,10000,9323,0.9323,0.027944640398491174,0.35862731210887433,0.2834999285016741,655360000.0,327680000.0,163840000.0,184326800.0,92166800.0,48646798.0,0.2813,0.2813,0.2969,3.52733775026012
llmint8,llmint8_INT8INT2,INT8INT2,int8,int2,"1.0000,1.0000,0.7500",1.0000,1.0000,0.7500,"0.2813,0.2813,0.3218",0.2813,0.2813,0.3218,100,10000,9323,0.9323,0.028097314473707228,0.3586630817502737,0.28705147705078127,655360000.0,327680000.0,163840000.0,184326800.0,92166800.0,52719998.0,0.2813,0.2813,0.3218,3.4836957129577617
